iter	Passed	Remaining
0	1	103
1	2	100
2	3	105
3	4	98
4	4	92
5	5	87
6	6	84
7	7	80
8	7	78
9	8	74
10	8	72
11	9	70
12	10	68
13	10	67
14	11	66
15	12	64
16	12	63
17	13	62
18	14	61
19	15	60
20	16	60
21	16	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	47
37	28	47
38	29	46
39	30	45
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
