iter	Passed	Remaining
0	1	1168
1	2	1105
2	3	1020
3	3	987
4	4	989
5	5	984
6	7	1014
7	8	1005
8	9	996
9	9	985
10	10	979
11	11	973
12	12	983
13	13	979
14	14	980
15	15	982
16	16	974
17	17	969
18	18	964
19	19	957
20	20	953
21	21	949
22	22	947
23	23	945
24	24	938
25	25	937
26	25	936
27	26	931
28	27	926
29	28	923
30	29	920
31	30	916
32	31	913
33	32	913
34	33	915
35	34	917
36	35	915
37	36	916
38	37	913
39	37	910
40	38	908
41	39	905
42	40	902
43	41	898
44	42	895
45	43	893
46	44	894
47	44	891
48	45	890
49	46	888
50	47	886
51	48	882
52	49	882
53	50	880
54	51	878
55	51	875
56	52	874
57	53	871
58	54	866
59	55	862
60	55	857
61	56	851
62	56	847
63	57	844
64	58	842
65	59	839
66	59	834
67	60	832
68	61	828
69	62	826
70	62	822
71	63	819
72	64	815
73	64	811
74	65	808
75	66	804
76	66	801
77	67	797
78	68	797
79	69	796
80	69	792
81	70	789
82	70	782
83	71	779
84	72	777
85	72	774
86	73	772
87	74	769
88	74	766
89	75	764
90	76	762
91	77	761
92	77	760
93	78	758
94	79	758
95	80	756
96	80	753
97	81	751
98	82	748
99	83	747
100	83	747
101	84	746
102	85	745
103	86	743
104	87	742
105	87	741
106	88	738
107	89	736
108	89	734
109	91	739
110	92	737
111	92	735
112	93	733
113	94	731
114	94	728
115	95	726
116	95	722
117	96	720
118	97	718
119	97	717
120	98	716
121	99	714
122	99	712
123	100	710
124	101	708
125	101	707
126	102	704
127	103	702
128	103	701
129	104	698
130	105	698
131	106	697
132	106	697
133	107	697
134	108	697
135	109	696
136	110	695
137	111	693
138	111	692
139	112	690
140	113	689
141	113	687
142	114	687
143	115	687
144	116	686
145	117	684
146	117	683
147	118	681
148	119	680
149	119	679
150	120	679
151	121	677
152	122	676
153	122	674
154	123	673
155	124	672
156	124	670
157	125	669
158	126	668
159	126	666
160	127	663
161	128	662
162	128	661
163	129	661
164	130	660
165	131	659
166	131	657
167	132	656
168	133	655
169	134	654
170	134	653
171	135	652
172	136	651
173	137	650
174	137	649
175	138	647
176	139	646
177	139	645
178	140	644
179	141	642
180	141	641
181	142	640
182	143	639
183	144	639
184	145	638
185	145	638
186	146	637
187	147	635
188	147	634
189	148	633
190	149	632
191	149	631
192	150	629
193	151	628
194	151	627
195	152	626
196	153	625
197	154	624
198	154	622
199	155	621
200	156	620
201	156	619
202	157	617
203	157	616
204	158	615
205	159	614
206	160	613
207	160	612
208	161	611
209	162	610
210	163	609
211	163	608
212	164	607
213	165	606
214	165	604
215	166	603
216	166	602
217	167	600
218	168	599
219	168	598
220	169	597
221	170	596
222	170	595
223	171	594
224	172	593
225	173	592
226	173	591
227	174	590
228	175	590
229	176	589
230	176	588
231	177	587
232	178	587
233	179	586
234	179	585
235	180	584
236	181	584
237	182	583
238	182	581
239	183	580
240	183	579
241	184	578
242	185	577
243	185	575
244	186	575
245	187	574
246	187	572
247	188	571
248	189	571
249	190	570
250	191	570
251	191	569
252	192	568
253	193	567
254	193	566
255	194	565
256	195	564
257	195	562
258	196	561
259	197	560
260	197	559
261	198	559
262	199	558
263	199	557
264	200	556
265	201	555
266	201	554
267	202	552
268	203	552
269	203	551
270	204	550
271	205	550
272	206	549
273	207	548
274	207	547
275	208	546
276	209	546
277	209	545
278	210	544
279	211	543
280	211	542
281	212	541
282	213	540
283	213	538
284	214	537
285	215	536
286	215	536
287	216	535
288	217	534
289	217	533
290	218	532
291	219	531
292	219	530
293	221	531
294	221	530
295	222	529
296	223	528
297	223	527
298	224	526
299	225	525
300	225	524
301	226	523
302	227	523
303	228	522
304	228	521
305	229	520
306	230	519
307	230	518
308	231	517
309	231	516
310	232	515
311	233	514
312	233	513
313	234	512
314	235	511
315	236	511
316	236	510
317	237	509
318	238	508
319	238	507
320	239	506
321	240	505
322	240	504
323	241	503
324	242	502
325	242	501
326	243	500
327	244	500
328	244	499
329	245	498
330	246	497
331	246	496
332	247	495
333	248	494
334	248	493
335	249	493
336	250	492
337	250	491
338	251	490
339	252	489
340	253	489
341	253	488
342	254	487
343	255	486
344	255	485
345	256	484
346	257	483
347	257	482
348	258	481
349	258	480
350	259	479
351	260	479
352	260	478
353	261	477
354	262	476
355	263	475
356	264	475
357	264	474
358	265	474
359	266	473
360	267	472
361	268	472
362	268	471
363	269	471
364	270	470
365	271	469
366	271	468
367	272	467
368	273	467
369	273	466
370	274	465
371	275	464
372	275	463
373	276	462
374	277	461
375	277	461
376	278	460
377	279	459
378	280	459
379	281	458
380	282	458
381	282	457
382	283	456
383	284	455
384	284	454
385	285	454
386	286	453
387	286	452
388	287	451
389	288	450
390	288	449
391	289	448
392	290	448
393	290	447
394	291	446
395	292	445
396	292	444
397	293	443
398	294	443
399	294	442
400	295	441
401	296	440
402	297	440
403	298	439
404	299	439
405	299	438
406	300	437
407	301	436
408	301	436
409	302	435
410	303	434
411	303	433
412	304	432
413	304	431
414	305	430
415	306	429
416	306	429
417	307	428
418	308	428
419	309	427
420	310	426
421	311	426
422	312	426
423	313	425
424	314	424
425	314	424
426	315	423
427	316	422
428	317	422
429	317	421
430	318	420
431	319	420
432	320	419
433	320	418
434	321	417
435	322	416
436	322	415
437	323	415
438	324	414
439	324	413
440	325	412
441	326	412
442	327	411
443	327	410
444	328	409
445	329	409
446	329	408
447	330	407
448	331	406
449	331	405
450	332	404
451	333	403
452	333	403
453	334	402
454	335	401
455	335	400
456	336	399
457	337	399
458	337	398
459	338	397
460	339	396
461	339	395
462	340	395
463	341	394
464	341	393
465	342	392
466	343	392
467	344	391
468	344	390
469	345	389
470	346	388
471	346	388
472	347	387
473	348	386
474	348	385
475	349	384
476	350	383
477	351	383
478	351	382
479	352	381
480	353	381
481	354	380
482	355	380
483	356	379
484	356	378
485	357	378
486	358	378
487	359	377
488	360	376
489	361	376
490	362	375
491	362	374
492	363	373
493	364	373
494	365	372
495	366	372
496	366	371
497	367	370
498	368	369
499	368	368
500	369	368
501	370	367
502	371	366
503	372	366
504	373	366
505	374	365
506	375	365
507	376	364
508	377	364
509	378	363
510	379	362
511	380	362
512	380	361
513	381	360
514	382	360
515	383	359
516	383	358
517	384	358
518	385	357
519	386	356
520	387	356
521	388	355
522	389	355
523	390	354
524	391	353
525	391	353
526	392	352
527	393	351
528	394	351
529	395	350
530	395	349
531	396	348
532	397	347
533	397	347
534	398	346
535	399	345
536	400	345
537	400	344
538	401	343
539	402	342
540	402	341
541	403	341
542	404	340
543	405	339
544	406	339
545	407	338
546	408	337
547	408	337
548	409	336
549	410	335
550	410	334
551	411	334
552	412	333
553	412	332
554	413	331
555	414	331
556	415	330
557	415	329
558	416	328
559	417	327
560	418	327
561	419	326
562	420	326
563	420	325
564	421	324
565	422	323
566	422	322
567	423	322
568	424	321
569	424	320
570	425	319
571	426	318
572	426	318
573	427	317
574	428	316
575	428	315
576	429	314
577	430	314
578	430	313
579	431	312
580	432	311
581	433	311
582	433	310
583	434	309
584	435	308
585	436	308
586	437	307
587	437	306
588	438	305
589	439	305
590	439	304
591	440	303
592	441	302
593	441	302
594	442	301
595	443	300
596	443	299
597	444	298
598	445	298
599	445	297
600	446	296
601	447	295
602	447	294
603	448	294
604	449	293
605	450	292
606	450	291
607	451	291
608	452	290
609	452	289
610	453	288
611	453	287
612	454	287
613	455	286
614	455	285
615	456	284
616	457	283
617	457	282
618	458	282
619	459	281
620	459	280
621	460	279
622	461	278
623	461	278
624	462	277
625	463	276
626	463	275
627	464	275
628	465	274
629	466	273
630	467	273
631	468	272
632	468	271
633	469	271
634	470	270
635	470	269
636	471	268
637	471	267
638	472	267
639	473	266
640	474	265
641	474	264
642	475	264
643	476	263
644	476	262
645	477	261
646	478	260
647	478	260
648	479	259
649	480	258
650	481	258
651	482	257
652	482	256
653	483	255
654	484	255
655	484	254
656	485	253
657	486	252
658	486	251
659	487	251
660	488	250
661	488	249
662	489	248
663	490	247
664	490	247
665	491	246
666	492	245
667	492	244
668	493	244
669	494	243
670	494	242
671	495	241
672	496	241
673	497	240
674	497	239
675	498	238
676	498	238
677	499	237
678	500	236
679	501	235
680	501	235
681	502	234
682	503	233
683	503	232
684	504	231
685	505	231
686	505	230
687	506	229
688	507	228
689	507	228
690	508	227
691	509	226
692	510	225
693	510	225
694	511	224
695	512	223
696	512	222
697	513	222
698	514	221
699	514	220
700	515	219
701	516	219
702	516	218
703	517	217
704	518	216
705	518	216
706	519	215
707	520	214
708	520	213
709	521	213
710	522	212
711	522	211
712	523	210
713	524	209
714	524	209
715	525	208
716	526	207
717	527	206
718	527	206
719	528	205
720	529	204
721	529	203
722	530	203
723	531	202
724	531	201
725	532	200
726	532	200
727	533	199
728	534	198
729	534	197
730	535	197
731	536	196
732	537	195
733	537	194
734	538	194
735	539	193
736	540	192
737	541	192
738	541	191
739	542	190
740	543	189
741	544	189
742	544	188
743	545	187
744	546	186
745	546	186
746	547	185
747	548	184
748	548	183
749	549	183
750	550	182
751	551	181
752	551	180
753	552	180
754	553	179
755	553	178
756	554	177
757	555	177
758	556	176
759	556	175
760	557	175
761	558	174
